               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.4655,              1.3494,              1.4802,             0.91146,              0.9498,             0.95564,             0.61027,              1.2981,             0.56589,              1.4003,            0.070053,           0.0033275,           0.0033275
                   1,              1.3735,             0.79593,              1.3771,             0.92252,             0.92035,             0.96211,             0.61751,               1.262,             0.61319,              1.4561,            0.039789,           0.0063971,           0.0063971
                   2,              1.4191,              0.8786,               1.425,             0.79553,             0.82456,             0.93069,             0.54246,              1.4106,              1.0366,              1.6296,            0.009261,           0.0092026,           0.0092026
                   3,              1.4565,              0.9277,              1.4444,             0.90745,             0.93426,             0.96272,               0.577,              1.3569,             0.66829,              1.5764,            0.008812,            0.008812,            0.008812
                   4,              1.4233,             0.88197,              1.4398,             0.94539,              0.9303,             0.97388,             0.60274,              1.3281,             0.59504,               1.536,            0.008812,            0.008812,            0.008812
                   5,              1.3956,             0.82221,              1.4239,             0.93536,             0.95583,             0.97772,             0.62473,              1.2515,             0.57279,              1.4486,            0.008416,            0.008416,            0.008416
                   6,              1.3662,             0.78698,              1.4026,             0.95704,              0.9513,             0.98087,             0.63296,              1.2478,             0.53908,              1.5092,             0.00802,             0.00802,             0.00802
                   7,              1.3269,             0.74336,              1.3792,             0.96717,             0.95838,             0.98687,             0.63967,              1.2114,             0.50964,              1.4333,            0.007624,            0.007624,            0.007624
                   8,              1.2992,             0.71716,              1.3475,             0.96162,              0.9692,             0.98366,             0.64768,              1.1817,             0.48941,              1.4157,            0.007228,            0.007228,            0.007228
                   9,              1.2667,             0.68399,              1.3468,             0.95936,             0.96416,             0.98432,             0.66391,              1.1572,             0.47961,              1.4282,            0.006832,            0.006832,            0.006832
                  10,              1.2394,             0.58952,              1.4295,             0.96884,             0.95118,               0.985,             0.65459,               1.198,             0.50956,              1.4511,            0.006436,            0.006436,            0.006436
                  11,              1.2322,             0.58211,                1.42,              0.9586,             0.96591,             0.98052,             0.66346,              1.2042,              0.4968,              1.4282,             0.00604,             0.00604,             0.00604
                  12,              1.2135,             0.56363,              1.4057,             0.96769,             0.96904,             0.98546,             0.67523,              1.1639,             0.46799,              1.3827,            0.005644,            0.005644,            0.005644
                  13,              1.1765,             0.53431,              1.3786,             0.96242,             0.97942,             0.98591,             0.68701,              1.1365,             0.46025,              1.4313,            0.005248,            0.005248,            0.005248
                  14,              1.1619,             0.52163,               1.372,             0.97435,             0.95907,             0.98629,              0.6893,              1.1266,             0.45771,              1.3858,            0.004852,            0.004852,            0.004852
                  15,              1.1374,             0.50295,              1.3545,             0.96789,             0.97867,             0.98969,              0.6981,              1.1051,             0.43507,              1.3451,            0.004456,            0.004456,            0.004456
                  16,              1.1104,             0.48606,              1.3112,             0.97331,             0.97399,             0.98767,             0.71231,              1.0808,             0.42329,               1.295,             0.00406,             0.00406,             0.00406
                  17,              1.0893,             0.46946,              1.2974,             0.97547,             0.97479,             0.98893,             0.70715,              1.0785,             0.41515,              1.3095,            0.003664,            0.003664,            0.003664
                  18,              1.0621,             0.45792,              1.2719,             0.97571,             0.97768,             0.98965,             0.71991,              1.0505,             0.40027,               1.283,            0.003268,            0.003268,            0.003268
                  19,                1.05,             0.43876,              1.2536,             0.97437,             0.98361,             0.99145,             0.72906,              1.0304,             0.37957,              1.2704,            0.002872,            0.002872,            0.002872
                  20,              1.0181,             0.42456,              1.2454,             0.97729,               0.987,             0.99191,             0.73822,               0.995,             0.37261,              1.2874,            0.002476,            0.002476,            0.002476
                  21,             0.98465,             0.40762,              1.2396,             0.97959,             0.98453,             0.99113,             0.74563,              0.9869,             0.36135,              1.2736,             0.00208,             0.00208,             0.00208
                  22,             0.96688,             0.39852,              1.2262,             0.98497,             0.97886,             0.99198,             0.75291,             0.97652,             0.35749,              1.2752,            0.001684,            0.001684,            0.001684
                  23,             0.94442,             0.38266,              1.2137,             0.97909,             0.98632,             0.99155,             0.75884,             0.95318,             0.34719,              1.2504,            0.001288,            0.001288,            0.001288
                  24,             0.91652,             0.37067,              1.1929,             0.98353,             0.98564,             0.99193,             0.76623,             0.94218,             0.33423,              1.2524,            0.000892,            0.000892,            0.000892
