                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2333,                 1.5731,                0.97093,                0.66864,                0.74007,                0.70556,                 0.2872,                 1.9411,                 1.2071,                0.91815,               0.066755,              2.003e-05,              2.003e-05
                      2,                 2.0757,                 1.2236,                0.93786,                0.67495,                0.76632,                0.77025,                 0.3109,                 1.8608,                 1.1942,                0.89451,                0.03344,             3.8777e-05,             3.8777e-05
                      3,                 2.0047,                 1.1852,                0.92755,                 0.6952,                0.79925,                0.77685,                0.29973,                  1.877,                 1.1166,                0.90535,             0.00012437,               5.62e-05,               5.62e-05
                      4,                 1.9813,                 1.1646,                0.91809,                 0.7091,                0.84426,                 0.7544,                0.31398,                 1.8984,                 1.1139,                0.90162,             5.4251e-05,             5.4251e-05,             5.4251e-05
                      5,                 1.9617,                 1.1478,                0.91404,                0.74275,                0.81584,                0.81601,                0.32611,                 1.8778,                 1.0592,                0.89884,             5.2264e-05,             5.2264e-05,             5.2264e-05
                      6,                 1.9494,                 1.1191,                0.91584,                0.70617,                0.83396,                0.75298,                 0.3245,                 1.8514,                 1.0702,                0.90092,             5.0277e-05,             5.0277e-05,             5.0277e-05
                      7,                 1.9233,                 1.1275,                0.90964,                0.77937,                0.84137,                0.81104,                0.34633,                 1.8748,                 1.0694,                0.89256,              4.829e-05,              4.829e-05,              4.829e-05
                      8,                 1.9162,                 1.1133,                0.90139,                0.70215,                0.86148,                0.77031,                0.33176,                 1.8137,                 1.1014,                0.88433,             4.6303e-05,             4.6303e-05,             4.6303e-05
                      9,                 1.9013,                 1.1201,                0.89748,                0.72323,                0.85626,                0.81205,                0.34246,                 1.7936,                 1.0794,                 0.8809,             4.4316e-05,             4.4316e-05,             4.4316e-05
                     10,                 1.9028,                 1.0957,                0.89624,                0.72249,                 0.8434,                0.80562,                0.35148,                 1.8055,                 1.0479,                0.88524,             4.2329e-05,             4.2329e-05,             4.2329e-05
                     11,                 1.8897,                  1.083,                0.90081,                0.77569,                0.83155,                0.83951,                0.35559,                 1.8409,                 1.0467,                0.88733,             4.0342e-05,             4.0342e-05,             4.0342e-05
                     12,                 1.8913,                  1.093,                0.90181,                0.72892,                0.84079,                 0.7905,                0.34362,                 1.7788,                 1.0636,                0.88279,             3.8355e-05,             3.8355e-05,             3.8355e-05
                     13,                 1.8742,                 1.0867,                0.88908,                0.73687,                0.83262,                 0.7924,                0.34583,                 1.8288,                 1.0481,                0.88938,             3.6368e-05,             3.6368e-05,             3.6368e-05
                     14,                 1.8676,                 1.0752,                0.89255,                0.76383,                0.84588,                0.83233,                0.35239,                 1.8022,                  1.047,                0.89275,             3.4381e-05,             3.4381e-05,             3.4381e-05
                     15,                 1.8684,                 1.0799,                0.89045,                0.75472,                0.84386,                0.80062,                0.34354,                 1.7713,                 1.0511,                0.89123,             3.2394e-05,             3.2394e-05,             3.2394e-05
                     16,                 1.8528,                 1.0762,                0.89384,                0.74711,                0.85794,                0.80464,                0.35804,                 1.7496,                  1.051,                0.87994,             3.0407e-05,             3.0407e-05,             3.0407e-05
                     17,                 1.8516,                 1.0628,                0.89219,                0.77484,                0.84112,                0.83173,                0.36146,                 1.7851,                 1.0332,                0.87812,              2.842e-05,              2.842e-05,              2.842e-05
                     18,                  1.854,                 1.0523,                0.88459,                 0.7919,                0.86185,                0.85772,                0.37076,                 1.7725,                 1.0217,                 0.8903,             2.6433e-05,             2.6433e-05,             2.6433e-05
                     19,                 1.8391,                 1.0635,                0.88584,                0.77125,                0.87846,                0.84516,                0.37177,                 1.7715,                 1.0058,                0.88203,             2.4446e-05,             2.4446e-05,             2.4446e-05
                     20,                 1.8436,                 1.0618,                0.89111,                0.75954,                0.86018,                0.83166,                0.36909,                  1.755,                 1.0233,                0.88612,             2.2459e-05,             2.2459e-05,             2.2459e-05
