               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.9806,              3.2622,              1.3886,             0.68617,              0.5197,             0.46656,             0.17345,                   0,                   0,                   0,            0.070091,           0.0033232,           0.0033232
                   1,              2.8311,              1.7902,               1.282,             0.72125,             0.60195,                0.55,             0.19873,                   0,                   0,                   0,            0.039927,           0.0064918,           0.0064918
                   2,              2.9132,              1.7656,              1.2853,             0.71532,              0.5523,             0.52765,             0.18598,                   0,                   0,                   0,            0.009597,           0.0094953,           0.0094953
                   3,               2.944,              1.7475,              1.3087,              0.7573,              0.4819,             0.52369,             0.16731,                   0,                   0,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,              2.8528,              1.6816,              1.2931,             0.70908,             0.54808,             0.53227,             0.18266,                   0,                   0,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,              2.7855,              1.6228,              1.2753,             0.76479,             0.53745,             0.54814,              0.2132,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   6,              2.7412,              1.6042,              1.2692,             0.73364,             0.59394,             0.58217,             0.21558,                   0,                   0,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,              2.7203,              1.5703,              1.2675,             0.66656,              0.6485,             0.60993,             0.24309,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                   8,               2.662,              1.5343,              1.2554,             0.76702,             0.61112,             0.59511,             0.22527,                   0,                   0,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,              2.6536,              1.5233,              1.2437,             0.75991,             0.59533,             0.58988,             0.22784,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  10,              2.6455,              1.4971,               1.238,             0.67694,             0.70436,             0.68251,             0.27399,                   0,                   0,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,              2.6151,              1.4839,              1.2279,               0.701,             0.71061,             0.65441,             0.24411,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  12,              2.5839,              1.4585,              1.2271,             0.74869,             0.67315,             0.69276,             0.28458,                   0,                   0,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,              2.5679,              1.4437,              1.2264,             0.54967,             0.65262,             0.64186,             0.25519,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  14,              2.5549,              1.4351,              1.2217,             0.69554,             0.72663,             0.68199,             0.27766,                   0,                   0,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,              2.5216,              1.4181,              1.2227,             0.67643,             0.68424,             0.68707,             0.28484,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  16,              2.5223,                 1.4,               1.214,             0.56803,             0.73328,             0.66412,              0.2718,                   0,                   0,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,              2.5223,              1.4091,              1.2173,             0.77265,             0.67663,             0.71732,             0.30362,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  18,              2.5042,              1.3975,              1.2098,             0.71697,             0.72282,             0.68615,             0.29539,                   0,                   0,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,              2.4812,              1.3776,              1.2043,             0.77654,              0.6692,             0.70757,             0.29584,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  20,              2.4713,              1.3615,                1.19,             0.73737,             0.66685,             0.67092,             0.29505,                   0,                   0,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,              2.4423,              1.3577,              1.1916,             0.81789,             0.74716,             0.73481,              0.3206,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  22,              2.4375,              1.3479,              1.1958,             0.80401,             0.70602,              0.7279,             0.30698,                   0,                   0,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,              2.4329,              1.3478,              1.1986,             0.81872,             0.71767,             0.75131,             0.29981,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  24,              2.4269,              1.3333,              1.1965,             0.77862,             0.72656,              0.7362,             0.31221,                   0,                   0,                   0,           0.0043075,           0.0043075,           0.0043075
                  25,              2.4082,              1.3287,              1.1844,             0.70101,             0.71886,             0.72986,             0.29069,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  26,              2.4138,              1.3234,                1.19,             0.69305,             0.76313,             0.70682,             0.30493,                   0,                   0,                   0,           0.0038125,           0.0038125,           0.0038125
                  27,              2.3833,              1.3118,              1.1808,             0.65179,             0.78468,              0.7071,             0.31958,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  28,              2.3741,              1.2976,              1.1784,             0.76781,             0.75513,             0.72881,             0.31933,                   0,                   0,                   0,           0.0033175,           0.0033175,           0.0033175
                  29,              2.3564,              1.2854,              1.1776,             0.79563,             0.76039,             0.72376,             0.30718,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  30,              2.3375,               1.278,              1.1796,               0.799,             0.79314,             0.76895,             0.32652,                   0,                   0,                   0,           0.0028225,           0.0028225,           0.0028225
