epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.271,2.16397,6.84511,0.87884,0.87453,0.7395,0.82656,0.37854,1.90082,0.98464,0.82479,0.0673133,0.000529237,0.000529237
2,438.834,1.93016,1.40145,0.83354,0.88597,0.84881,0.90716,0.44608,1.79432,0.85235,0.81787,0.0344691,0.00101835,0.00101835
3,649.633,1.93868,1.10244,0.83712,0.92346,0.84881,0.91774,0.43431,1.83568,0.79395,0.83418,0.00158278,0.00146541,0.00146541
4,859.156,1.97361,1.03136,0.84889,0.93529,0.89125,0.92827,0.46926,1.75389,0.7944,0.82701,0.00140403,0.00140403,0.00140403
5,1069.08,1.91637,0.92105,0.83803,0.90816,0.92042,0.94128,0.47127,1.74491,0.77397,0.82153,0.00134094,0.00134094,0.00134094
6,1279.14,1.8902,0.90652,0.83873,0.92537,0.85146,0.92382,0.44072,1.8263,0.83554,0.82876,0.00127784,0.00127784,0.00127784
7,1488.68,1.81214,0.86655,0.83316,0.90709,0.88047,0.93257,0.46936,1.73228,0.80361,0.82326,0.00121475,0.00121475,0.00121475
8,1698.35,1.81755,0.85034,0.83302,0.93904,0.8992,0.94911,0.47876,1.69446,0.77218,0.8251,0.00115165,0.00115165,0.00115165
9,1908.26,1.8059,0.81343,0.83181,0.92309,0.8992,0.94579,0.47326,1.71981,0.77122,0.82062,0.00108856,0.00108856,0.00108856
10,2117.74,1.76155,0.79874,0.83064,0.93273,0.91951,0.94959,0.47868,1.6939,0.74696,0.82235,0.00102546,0.00102546,0.00102546
11,2327.14,1.73024,0.7874,0.82874,0.93004,0.91686,0.94982,0.48586,1.70928,0.75525,0.82482,0.000962366,0.000962366,0.000962366
12,2537.06,1.70622,0.76857,0.82535,0.94065,0.92492,0.9538,0.49602,1.67133,0.70128,0.82284,0.000899271,0.000899271,0.000899271
13,2747.02,1.68615,0.73968,0.82613,0.94215,0.90451,0.94701,0.48987,1.69872,0.72255,0.82455,0.000836175,0.000836175,0.000836175
14,2956.03,1.66578,0.73093,0.82513,0.94876,0.9332,0.95475,0.50435,1.63834,0.68249,0.82243,0.000773079,0.000773079,0.000773079
15,3166.21,1.67272,0.72275,0.82642,0.96366,0.92838,0.95893,0.52021,1.64831,0.70917,0.82048,0.000709984,0.000709984,0.000709984
16,3377.87,1.62963,0.69705,0.83346,0.95856,0.92028,0.9554,0.50601,1.63251,0.71769,0.81656,0.000646888,0.000646888,0.000646888
17,3587.51,1.6096,0.69764,0.83231,0.93604,0.93159,0.95695,0.49046,1.6901,0.73516,0.82147,0.000583793,0.000583793,0.000583793
18,3796.74,1.59295,0.67888,0.82976,0.94775,0.90451,0.94561,0.52649,1.61491,0.69547,0.82217,0.000520697,0.000520697,0.000520697
19,4006.33,1.57676,0.66795,0.83129,0.94701,0.92308,0.94488,0.52636,1.59239,0.67558,0.8191,0.000457602,0.000457602,0.000457602
20,4215.61,1.56804,0.66244,0.82808,0.93557,0.9244,0.94201,0.52848,1.61518,0.71446,0.82046,0.000394506,0.000394506,0.000394506
21,4425.38,1.54756,0.65308,0.82819,0.94947,0.91777,0.94848,0.52699,1.62447,0.6969,0.82129,0.000331411,0.000331411,0.000331411
22,4634.36,1.51669,0.6331,0.82266,0.95627,0.93634,0.94939,0.52489,1.62562,0.69086,0.82096,0.000268315,0.000268315,0.000268315
23,4843.51,1.49954,0.61518,0.82299,0.95189,0.93103,0.94805,0.54001,1.57768,0.66032,0.81862,0.00020522,0.00020522,0.00020522
24,5053.22,1.46505,0.61393,0.82289,0.95437,0.93369,0.95812,0.5346,1.5916,0.65158,0.81811,0.000142124,0.000142124,0.000142124
25,5262.4,1.46039,0.60477,0.82299,0.96688,0.92933,0.95996,0.54325,1.58467,0.65809,0.81831,7.90287e-05,7.90287e-05,7.90287e-05
