                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.309,                  1.781,                 1.0261,                0.63316,                0.63807,                0.61728,                0.20438,                  2.294,                 1.3021,                 1.0273,             0.00041624,             0.00041624,             0.00041624
                      2,                 2.2593,                  1.328,                 1.0108,                0.60933,                 0.7221,                 0.6599,                0.24055,                 2.1214,                 1.2834,                0.98989,             0.00081642,             0.00081642,             0.00081642
                      3,                 2.2456,                 1.2738,                0.99755,                0.59317,                0.64869,                0.58026,                0.22192,                 2.1541,                 1.3201,                0.99071,              0.0012001,              0.0012001,              0.0012001
                      4,                 2.1789,                 1.2315,                0.98775,                0.65955,                0.70393,                0.67669,                0.27233,                 1.9722,                 1.1892,                0.96581,              0.0011757,              0.0011757,              0.0011757
                      5,                  2.138,                 1.2039,                0.97713,                0.71557,                0.74853,                0.72947,                0.29038,                 1.9785,                 1.1524,                0.96096,               0.001151,               0.001151,               0.001151
                      6,                  2.105,                 1.1683,                0.97149,                0.74183,                0.74891,                0.75996,                0.28847,                 2.0289,                 1.1325,                0.96294,              0.0011263,              0.0011263,              0.0011263
                      7,                 2.0557,                 1.1406,                 0.9607,                0.67153,                0.74903,                0.70722,                0.28256,                 1.9894,                  1.162,                0.94259,              0.0011015,              0.0011015,              0.0011015
                      8,                 2.0417,                 1.1176,                0.95373,                0.77476,                0.76458,                0.78055,                0.30825,                 1.9583,                 1.1029,                0.94467,              0.0010768,              0.0010768,              0.0010768
                      9,                 2.0326,                 1.0978,                0.95634,                0.75636,                0.78469,                 0.7757,                0.31805,                 1.9078,                 1.0866,                0.94002,               0.001052,               0.001052,               0.001052
                     10,                 1.9943,                 1.0897,                0.94462,                0.71703,                 0.7527,                 0.7328,                0.29798,                 2.0247,                 1.0905,                0.94152,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.9859,                 1.0833,                0.95098,                0.71641,                0.75301,                0.74408,                0.31177,                 1.9735,                 1.1369,                0.95007,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.9764,                 1.0773,                0.94859,                0.75093,                 0.8408,                0.77754,                0.31986,                 1.9018,                 1.0689,                0.92946,             0.00097775,             0.00097775,             0.00097775
