epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.888,1.04236,1.00846,0.06939,0.65408,1.01587,0.94074,0.75672,0.84827,0.59845,0.93511,0.7694,0.87805,0.82175,1.07979,1.32571,0.02139,0.65475,1.06956,0.000554618,0.000554618,0.000554618
2,411.69,1.11492,1.19058,0.07421,0.70133,1.04019,0.90147,0.7506,0.8266,0.58015,0.91097,0.76053,0.86071,0.79117,1.1164,1.51617,0.01684,0.71008,1.09347,0.0011092,0.0011092,0.0011092
3,610.178,1.15722,1.35073,0.07316,0.75084,1.0581,0.92474,0.70833,0.81251,0.56337,0.89369,0.75492,0.85232,0.78349,1.11768,1.4592,0.01748,0.72082,1.1082,0.00165945,0.00165945,0.00165945
4,808.021,1.16965,1.40844,0.07773,0.7826,1.07037,0.90757,0.69665,0.78909,0.55158,0.85935,0.73832,0.82762,0.75794,1.14546,1.63331,0.02098,0.77359,1.11667,0.00165238,0.00165238,0.00165238
5,1005.85,1.17588,1.52367,0.08582,0.78604,1.06832,0.9047,0.73671,0.8136,0.56401,0.92173,0.7572,0.85116,0.781,1.14212,1.55915,0.02231,0.71967,1.11327,0.00164108,0.00164108,0.00164108
6,1203.78,1.19589,1.43877,0.08037,0.78958,1.07899,0.89532,0.72061,0.8087,0.56063,0.90096,0.75644,0.85399,0.78537,1.15043,1.50354,0.01816,0.72913,1.1097,0.00162661,0.00162661,0.00162661
7,1401.88,1.17812,1.45734,0.07725,0.77696,1.06219,0.91963,0.7306,0.8183,0.5587,0.91804,0.74612,0.84104,0.77744,1.14937,1.58963,0.02273,0.73115,1.10904,0.00160905,0.00160905,0.00160905
8,1599.79,1.1515,1.32483,0.07065,0.75667,1.04987,0.91014,0.73725,0.8197,0.55915,0.91299,0.75831,0.86728,0.80337,1.18262,1.42744,0.01663,0.70423,1.10378,0.00158847,0.00158847,0.00158847
9,1797.57,1.1506,1.28222,0.06851,0.73953,1.05462,0.91031,0.75392,0.8284,0.58474,0.90938,0.76766,0.86187,0.79992,1.1085,1.42684,0.01844,0.68452,1.0861,0.00156493,0.00156493,0.00156493
10,1995.39,1.135,1.2299,0.07379,0.73781,1.0456,0.91717,0.73655,0.825,0.56593,0.92682,0.75277,0.85579,0.78455,1.1474,1.49968,0.01464,0.70446,1.10387,0.00153854,0.00153854,0.00153854
11,2193.13,1.12113,1.2712,0.06955,0.7206,1.04098,0.91925,0.74462,0.83055,0.57705,0.89319,0.7695,0.85818,0.78879,1.11551,1.49885,0.01469,0.68674,1.09548,0.00150941,0.00150941,0.00150941
