epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1457.46,1.47599,0.99517,1.31283,0.75104,0.653,0.66026,0.26909,1.86104,1.01324,1.00548,0.000555215,0.000555215,0.000555215
2,2879.88,1.61219,1.16267,1.39619,0.69216,0.64675,0.63913,0.2495,1.94739,1.07266,1.02049,0.00110395,0.00110395,0.00110395
3,4295.87,1.61175,1.13811,1.3918,0.64642,0.66088,0.62533,0.25957,1.86974,1.03648,1.00859,0.00108408,0.00108408,0.00108408
4,5711.36,1.58235,1.08632,1.37227,0.55781,0.65085,0.63568,0.26966,1.84417,1.03311,0.99334,0.00105106,0.00105106,0.00105106
5,7127.5,1.56646,1.05682,1.35765,0.65823,0.68601,0.67913,0.28042,1.82196,1.01478,0.99441,0.00100597,0.00100597,0.00100597
6,8545.66,1.53415,1.01598,1.34588,0.73218,0.71239,0.70585,0.28876,1.84373,1.01013,0.99487,0.000949925,0.000949925,0.000949925
7,9963.57,1.50922,0.98462,1.33384,0.69027,0.69619,0.71202,0.29155,1.83857,0.9989,0.99332,0.000884305,0.000884305,0.000884305
8,11381.6,1.49771,0.95538,1.32126,0.67812,0.71663,0.70314,0.30199,1.79804,0.9765,0.9836,0.000810725,0.000810725,0.000810725
9,12799.9,1.47243,0.92478,1.31124,0.66345,0.70054,0.69676,0.29893,1.80361,0.96939,0.98216,0.000730997,0.000730997,0.000730997
10,14215.7,1.44984,0.89546,1.28951,0.69366,0.72747,0.72391,0.30587,1.78087,0.97151,0.98088,0.000647085,0.000647085,0.000647085
11,15631.3,1.37806,0.72837,1.26406,0.66531,0.77103,0.71863,0.3079,1.7865,0.9539,0.98175,0.000561055,0.000561055,0.000561055
12,17044.8,1.34478,0.69724,1.24957,0.72013,0.70586,0.72092,0.30921,1.77238,0.95188,0.97422,0.000475025,0.000475025,0.000475025
13,18459.2,1.31377,0.66959,1.23446,0.72793,0.7438,0.72924,0.31499,1.77395,0.94143,0.97872,0.000391113,0.000391113,0.000391113
14,19872.6,1.28547,0.64926,1.21711,0.7149,0.75637,0.73215,0.31521,1.76509,0.94608,0.97198,0.000311385,0.000311385,0.000311385
15,21286.8,1.25614,0.62946,1.19997,0.67586,0.79291,0.73179,0.31935,1.76621,0.94084,0.97297,0.000237805,0.000237805,0.000237805
16,22701.5,1.22957,0.6095,1.18566,0.72746,0.76462,0.73065,0.32299,1.74782,0.93229,0.96933,0.000172185,0.000172185,0.000172185
17,24116,1.20666,0.5963,1.16846,0.70945,0.77407,0.74911,0.33136,1.75241,0.93169,0.96767,0.00011614,0.00011614,0.00011614
18,25530.8,1.18433,0.58344,1.15499,0.73329,0.76118,0.74209,0.32852,1.74657,0.92655,0.96768,7.10504e-05,7.10504e-05,7.10504e-05
19,26942.3,1.17,0.57431,1.14601,0.71722,0.78928,0.74369,0.32827,1.74456,0.92948,0.96605,3.80262e-05,3.80262e-05,3.80262e-05
20,28354.4,1.16358,0.56793,1.14319,0.71643,0.78453,0.746,0.32992,1.74691,0.92594,0.96757,1.78807e-05,1.78807e-05,1.78807e-05
