                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56908,                0.92125,                  1.236,                0.89857,                0.91451,                0.95349,                0.66282,                 0.5426,                 1.7907,                 1.2424,             0.00041674,             0.00041674,             0.00041674
                      2,                0.54298,                0.65985,                 1.2336,                0.96804,                0.96357,                 0.9865,                0.64644,                0.64587,                0.71059,                 1.3253,             0.00082368,             0.00082368,             0.00082368
                      3,                0.54712,                0.65651,                  1.241,                0.98382,                0.97287,                0.99102,                0.71527,                0.52428,                0.53443,                 1.1802,              0.0012196,              0.0012196,              0.0012196
                      4,                0.52261,                0.59707,                 1.2212,                0.99002,                 0.9796,                 0.9926,                0.74276,                0.48655,                0.48174,                 1.1543,              0.0013723,              0.0013723,              0.0013723
                      5,                0.50673,                0.56049,                 1.2027,                0.99106,                0.98408,                0.99288,                 0.7561,                 0.4749,                0.44851,                 1.1185,              0.0013535,              0.0013535,              0.0013535
                      6,                0.49277,                0.53513,                 1.1899,                0.98865,                0.98588,                0.99341,                0.71873,                0.53911,                0.46016,                 1.1704,              0.0013346,              0.0013346,              0.0013346
                      7,                0.48649,                0.52253,                 1.1741,                0.99192,                0.98378,                  0.994,                0.71991,                0.54897,                0.45882,                 1.1881,              0.0013157,              0.0013157,              0.0013157
                      8,                0.47962,                0.50504,                 1.1704,                  0.989,                0.98903,                0.99409,                0.77689,                0.45471,                0.39982,                 1.0937,              0.0012968,              0.0012968,              0.0012968
                      9,                0.47566,                0.49803,                 1.1747,                0.99193,                0.98897,                0.99338,                0.75739,                0.47761,                0.40889,                 1.1158,              0.0012779,              0.0012779,              0.0012779
                     10,                0.46941,                0.48863,                 1.1511,                0.99165,                0.99094,                0.99396,                0.76943,                0.45666,                0.40612,                 1.1109,               0.001259,               0.001259,               0.001259
                     11,                0.46541,                0.48183,                 1.1636,                0.99154,                0.98869,                0.99346,                0.77252,                0.46401,                0.39356,                 1.1266,              0.0012401,              0.0012401,              0.0012401
                     12,                0.46379,                0.47996,                 1.1612,                0.99179,                 0.9905,                0.99418,                0.77891,                 0.4491,                 0.3956,                 1.1008,              0.0012212,              0.0012212,              0.0012212
